id,title,release_date,moby_score,moby_url,platforms,genres,developers,publishers
68675,American Idol,2003-11-07,5.07,https://www.mobygames.com/game/68675/american-idol/,"Windows, PlayStation 2","Action, Game show / trivia / quiz, Licensed, Music / rhythm, 3rd-person (Other), Regional differences",Hothouse Creations Ltd.,"Codemasters Software Company Limited, The"
31204,Soldier of Fortune: Payback,2007-11-13,5.06,https://www.mobygames.com/game/31204/soldier-of-fortune-payback/,"Windows, Xbox 360, PlayStation 3","Action, 1st-person, Shooter, Direct control, Africa, Contemporary, Middle East, Regional differences",Cauldron Ltd.,"1C Company, Activision Publishing, Inc."
8366,Alex Kidd: High-Tech World,1987-07-19,5.06,https://www.mobygames.com/game/8366/alex-kidd-high-tech-world/,SEGA Master System,"Action, Adventure, Real-time, Side view, Platform, 2D scrolling, Time management, Regional differences",SEGA Enterprises Ltd.,"SEGA of America, Inc., SEGA Enterprises Ltd., Tec Toy Indústria de Brinquedos S.A."
25733,Fugitive Hunter: War on Terror,2003-11-18,4.87,https://www.mobygames.com/game/25733/fugitive-hunter-war-on-terror/,"Windows, PlayStation 2","Action, 1st-person, Shooter, Direct control, Regional differences","Black Ops Entertainment, LLC","Encore, Inc., Play It Ltd., Noviy Disk"
29682,Instinct,2007-01-18,4.63,https://www.mobygames.com/game/29682/instinct/,Windows,"Action, 1st-person, Shooter, Regional differences","Newtonic Studio, Digital Spray Studios","Noviy Disk, Wydawnictwo Bauer Spółka z o.o., Sp.k., Wild Hare Entertainment, LLC."
9628,Sniper: Path of Vengeance,2002-09-19,4.61,https://www.mobygames.com/game/9628/sniper-path-of-vengeance/,Windows,"Action, 1st-person, Shooter, RPG elements, Direct control, Regional differences",Mirage Interactive LLC,"Mirage Interactive LLC, 1C Company, Xicat Interactive, Inc., Cenega Publishing, s.r.o."
36243,Turning Point: Fall of Liberty,2008-02-26,4.61,https://www.mobygames.com/game/36243/turning-point-fall-of-liberty/,"Windows, Xbox 360, PlayStation 3","Action, 1st-person, Shooter, North America, Regional differences",Spark Unlimited,"Buka Entertainment, Codemasters Software Company Limited, The"
53821,Quantum Theory,2010-09-28,4.6,https://www.mobygames.com/game/53821/quantum-theory/,"Xbox 360, PlayStation 3","Action, Shooter, Post-apocalyptic, Behind view, Regional differences",Team Tachyon,"Koei Tecmo Games Co., Ltd., Tecmo Koei America Corp."
48760,10-Yard Fight,1983,4.5,https://www.mobygames.com/game/48760/10-yard-fight/,"NES, MSX, Arcade, Nintendo Switch, Antstream, PlayStation 4, iiRcade","Sports, Top-down, Football (American), Regional differences",Irem Corp.,"Irem Software Engineering, Inc., HAMSTER Corporation, Nintendo of America Inc., Irem Corp., Taito America Corporation"
33420,The Stalin Subway: Red Veil,2006-10-05,4.2,https://www.mobygames.com/game/33420/the-stalin-subway-red-veil/,Windows,"Action, 1st-person, Shooter, Regional differences",Orion,"Frogster Interactive Pictures AG, Buka Entertainment"
44598,D.I.R.T.: Origin of the Species,2006-11-08,3.65,https://www.mobygames.com/game/44598/dirt-origin-of-the-species/,Windows,"Action, Sci-fi / futuristic, Shooter, Behind view, Direct control, Regional differences",Nu Generation Games Ltd.,"Nobilis Group, Tri Synergy, Inc."
24013,Dr. Jekyll and Mr. Hyde,1988-04-08,3.54,https://www.mobygames.com/game/24013/dr-jekyll-and-mr-hyde/,NES,"Action, Side view, Licensed, 2D scrolling, Regional differences",Advance Communication Company,"Toho Co., Ltd., Bandai America, Inc."
74575,Alcatraz,2010-08,,https://www.mobygames.com/game/74575/alcatraz/,Windows,"Action, 1st-person, Shooter, Regional differences",Silden,"Noviy Disk, City Interactive S.A."
177287,Alchemy Stars: Aurora Blast,2021-06-15,,https://www.mobygames.com/game/177287/alchemy-stars-aurora-blast/,"iPhone, Android, iPad","Strategy / tactics, Anime / Manga, Fantasy, Turn-based, Diagonal-down, RPG elements, Point and select, Regional differences, Gambling elements",Tourdog Studio,Proxima Beta Pte. Limited
139259,Animamundi: Dark Alchemist,2005-01-28,,https://www.mobygames.com/game/139259/animamundi-dark-alchemist/,"Windows, Macintosh","Adventure, 1st-person, Anime / Manga, Fantasy, Horror, Visual novel, Fixed / flip-screen, Point and select, Regional differences",Karin Entertainment,"Hirameki International Group Inc., Karin Entertainment"
206918,Armed Forces Corp.,2009-03-20,,https://www.mobygames.com/game/206918/armed-forces-corp/,Windows,"Action, 1st-person, Shooter, Contemporary, Regional differences",City Interactive S.A.,City Interactive S.A.
61196,Atari Powerpack,1989,,https://www.mobygames.com/game/61196/atari-powerpack/,Atari ST,"Compilation, Regional differences",,Atari UK Ltd.
